steps,tol,time,valid_prob,best_prob,best_valid,best_cost,optimal_cost
2,0.001,7.9411680698394775,0.0166,0.0121,False,nan,7.0
3,0.1,3.0441532135009766,0.0991,0.0209,False,nan,7.0
3,0.01,5.455488920211792,0.0918,0.0858,True,7.0,7.0
3,0.001,9.556218147277832,0.0482,0.0172,False,nan,7.0
1,0.1,6.540385961532593,0.0073,0.0346,False,nan,7.0
1,0.01,5.46085000038147,0.1027,0.0247,False,nan,7.0
1,0.001,4.719731330871582,0.0093,0.0257,False,nan,7.0
2,0.1,3.082369089126587,0.0354,0.0187,True,7.0,7.0
2,0.01,5.955842018127441,0.0357,0.0171,False,nan,7.0
2,0.001,11.287723064422607,0.1707,0.0317,True,8.0,7.0
3,0.1,7.177764892578125,0.0054,0.0255,False,nan,7.0
3,0.01,5.876788139343262,0.0711,0.0676,True,7.0,7.0
3,0.001,10.232964038848877,0.0087,0.0091,False,nan,7.0
1,0.1,5.021296739578247,0.0068,0.1037,False,nan,7.0
1,0.01,5.561842203140259,0.0099,0.0109,False,nan,7.0
1,0.001,4.7723658084869385,0.0256,0.0129,False,nan,7.0
2,0.1,2.4494059085845947,0.0207,0.0131,False,nan,7.0
2,0.01,6.310326099395752,0.0183,0.0544,False,nan,7.0
2,0.001,7.029873847961426,0.019,0.0112,False,nan,7.0
3,0.1,4.872867107391357,0.022,0.0789,False,nan,7.0
3,0.01,2.7413601875305176,0.0094,0.0147,False,nan,7.0
3,0.001,4.145545959472656,0.0272,0.0448,False,nan,7.0
1,0.1,5.006535053253174,0.0141,0.0701,False,nan,7.0
1,0.01,4.991811275482178,0.0714,0.0657,True,7.0,7.0
1,0.001,6.3239569664001465,0.0594,0.0302,True,9.0,7.0
2,0.1,3.244231939315796,0.0168,0.0222,False,nan,7.0
2,0.01,4.27844500541687,0.0091,0.035,False,nan,7.0
2,0.001,3.9214627742767334,0.032,0.0152,True,9.0,7.0
3,0.1,4.5765461921691895,0.0269,0.0119,False,nan,7.0
3,0.01,3.5422582626342773,0.0143,0.0112,False,nan,7.0
3,0.001,5.05856990814209,0.0052,0.0413,False,nan,7.0
