steps,tol,time,valid_prob,best_prob,best_valid,best_cost,optimal_cost
2,0.001,12.21677017211914,0.0135,0.0116,False,nan,7.0
3,0.1,10.53713583946228,0.0234,0.0102,False,nan,7.0
3,0.01,6.958268880844116,0.0136,0.0104,False,nan,7.0
3,0.001,13.532832860946655,0.0315,0.0159,True,9.0,7.0
1,0.1,10.731384038925171,0.0177,0.0472,False,nan,7.0
1,0.01,9.009209156036377,0.0173,0.0146,False,nan,7.0
1,0.001,8.27398133277893,0.0098,0.0121,False,nan,7.0
2,0.1,20.67292284965515,0.0688,0.0666,True,7.0,7.0
2,0.01,9.046332120895386,0.0089,0.0221,False,nan,7.0
2,0.001,13.93492317199707,0.0147,0.0369,False,nan,7.0
3,0.1,15.654346942901611,0.0579,0.0299,False,nan,7.0
3,0.01,7.383750915527344,0.0128,0.0269,False,nan,7.0
3,0.001,10.826425075531006,0.0174,0.0106,False,nan,7.0
1,0.1,10.28363585472107,0.0218,0.0186,False,nan,7.0
1,0.01,12.88638687133789,0.0129,0.0337,False,nan,7.0
1,0.001,23.880192041397095,0.0043,0.2716,False,nan,7.0
2,0.1,12.427383661270142,0.0221,0.0385,False,nan,7.0
2,0.01,15.225189924240112,0.0386,0.0191,True,9.0,7.0
2,0.001,9.719638109207153,0.1016,0.0287,False,nan,7.0
3,0.1,10.527112245559692,0.0107,0.0106,False,nan,7.0
3,0.01,9.60494613647461,0.0192,0.032,False,nan,7.0
3,0.001,9.560375213623047,0.0103,0.0533,False,nan,7.0
1,0.1,20.2230007648468,0.0191,0.0125,False,nan,7.0
1,0.01,16.00017285346985,0.0948,0.0247,False,nan,7.0
1,0.001,11.929710865020752,0.0135,0.0113,False,nan,7.0
2,0.1,10.890286207199097,0.0132,0.0103,False,nan,7.0
2,0.01,11.979207754135132,0.0158,0.0134,False,nan,7.0
2,0.001,5.779908180236816,0.0078,0.0195,False,nan,7.0
3,0.1,17.596792936325073,0.0392,0.028,False,nan,7.0
3,0.01,8.46002197265625,0.0137,0.0122,False,nan,7.0
3,0.001,15.881368160247803,0.0292,0.0434,False,nan,7.0
1,0.1,15.502185821533203,0.0132,0.029,False,nan,7.0
1,0.01,6.8895721435546875,0.0079,0.0305,False,nan,7.0
1,0.001,8.102543115615845,0.0954,0.0285,False,nan,7.0
2,0.1,8.566335201263428,0.0114,0.0102,False,nan,7.0
2,0.01,8.72358512878418,0.0224,0.0139,False,nan,7.0
2,0.001,11.569380044937134,0.0167,0.0149,False,nan,7.0
3,0.1,15.324489116668701,0.046,0.0188,False,nan,7.0
3,0.01,17.556795120239258,0.0023,0.0182,False,nan,7.0
3,0.001,11.592481136322021,0.0906,0.0223,False,nan,7.0
1,0.1,50.988112926483154,0.0053,0.2331,False,nan,7.0
1,0.01,18.79703187942505,0.0106,0.0035,False,nan,7.0
1,0.001,68.6020998954773,0.0314,0.0156,False,nan,7.0
2,0.1,15.977638721466064,0.0285,0.0147,False,nan,7.0
2,0.01,21.84688091278076,0.0288,0.014,False,nan,7.0
2,0.001,17.590451955795288,0.0207,0.0544,False,nan,7.0
3,0.1,17.56593680381775,0.0185,0.011,False,nan,7.0
3,0.01,15.965763807296753,0.0231,0.0175,False,nan,7.0
3,0.001,25.493879079818726,0.0361,0.019,True,7.0,7.0
1,0.1,15.474539041519165,0.069,0.066,True,7.0,7.0
1,0.01,18.064244031906128,0.0669,0.0242,False,nan,7.0
1,0.001,17.726724863052368,0.0644,0.0174,False,nan,7.0
2,0.1,30.828876972198486,0.0294,0.0154,False,nan,7.0
2,0.01,14.843345165252686,0.036,0.0153,True,9.0,7.0
2,0.001,16.237922191619873,0.0201,0.0084,False,nan,7.0
3,0.1,21.3717942237854,0.0517,0.0202,False,nan,7.0
3,0.01,22.136562824249268,0.0392,0.0165,False,nan,7.0
3,0.001,40.43596696853638,0.0211,0.0841,False,nan,7.0
1,0.1,24.58861207962036,0.0639,0.0323,False,nan,7.0
1,0.01,10.89284086227417,0.0212,0.0111,False,nan,7.0
1,0.001,27.73724389076233,0.0131,0.0278,False,nan,7.0
2,0.1,14.976558923721313,0.007,0.0099,False,nan,7.0
2,0.01,91.77003002166748,0.031,0.0239,False,nan,7.0
2,0.001,14.361091136932373,0.0281,0.0145,False,nan,7.0
3,0.1,19.977779150009155,0.0937,0.089,True,7.0,7.0
3,0.01,20.946456909179688,0.011,0.0104,False,nan,7.0
3,0.001,12.693928241729736,0.0285,0.0149,False,nan,7.0
1,0.1,15.901478290557861,0.0075,0.0616,False,nan,7.0
1,0.01,26.757283210754395,0.021,0.029,False,nan,7.0
1,0.001,8.738294124603271,0.093,0.0215,False,nan,7.0
2,0.1,16.164216995239258,0.037,0.0275,False,nan,7.0
2,0.01,26.196786165237427,0.0112,0.0092,False,nan,7.0
2,0.001,23.73873782157898,0.0327,0.0179,False,nan,7.0
3,0.1,16.038042068481445,0.0125,0.0062,False,nan,7.0
3,0.01,21.500951766967773,0.0235,0.015,False,nan,7.0
3,0.001,13.464845657348633,0.0041,0.012,False,nan,7.0
1,0.1,21.398945093154907,0.056,0.0392,False,nan,7.0
1,0.01,23.952324867248535,0.0297,0.0142,False,nan,7.0
1,0.001,13.242891073226929,0.0054,0.0137,False,nan,7.0
2,0.1,11.539305925369263,0.0131,0.029,False,nan,7.0
2,0.01,13.42071008682251,0.1014,0.0248,False,nan,7.0
2,0.001,11.186094999313354,0.0222,0.0132,False,nan,7.0
3,0.1,17.289764165878296,0.0298,0.0122,False,nan,7.0
3,0.01,13.339203119277954,0.0921,0.0873,True,7.0,7.0
3,0.001,16.841303825378418,0.0115,0.0123,False,nan,7.0
1,0.1,18.084935903549194,0.0175,0.0159,False,nan,7.0
1,0.01,24.747196912765503,0.0381,0.014,False,nan,7.0
1,0.001,12.231239080429077,0.0198,0.0107,False,nan,7.0
2,0.1,23.52701687812805,0.0421,0.0223,False,nan,7.0
2,0.01,12.13237476348877,0.0138,0.0114,False,nan,7.0
2,0.001,19.747802019119263,0.035,0.0173,False,nan,7.0
3,0.1,10.76836895942688,0.0719,0.026,False,nan,7.0
3,0.01,23.25270700454712,0.0178,0.014,False,nan,7.0
3,0.001,15.237438917160034,0.0093,0.0145,False,nan,7.0
1,0.1,13.722405910491943,0.029,0.0137,False,nan,7.0
1,0.01,72.92281198501587,0.0139,0.012,False,nan,7.0
1,0.001,32.021915912628174,0.0403,0.0188,False,nan,7.0
2,0.1,16.241010189056396,0.0147,0.0112,False,nan,7.0
2,0.01,19.34847116470337,0.0485,0.0192,False,nan,7.0
2,0.001,51.68693971633911,0.0341,0.0155,False,nan,7.0
3,0.1,14.096766948699951,0.0098,0.0098,False,nan,7.0
3,0.01,20.00246787071228,0.0314,0.018,False,nan,7.0
3,0.001,16.343844890594482,0.0125,0.0098,False,nan,7.0
1,0.1,27.070705890655518,0.1355,0.0245,True,9.0,7.0
1,0.01,9.40576171875,0.0036,0.0194,False,nan,7.0
1,0.001,17.80305004119873,0.049,0.0145,True,7.0,7.0
2,0.1,11.027036190032959,0.0593,0.0267,True,7.0,7.0
2,0.01,17.796944856643677,0.0339,0.04,False,nan,7.0
2,0.001,16.346215963363647,0.0139,0.0136,False,nan,7.0
3,0.1,15.879626035690308,0.009,0.0123,False,nan,7.0
3,0.01,97.20999503135681,0.0114,0.0033,False,nan,7.0
3,0.001,27.26077103614807,0.0291,0.0199,False,nan,7.0
1,0.1,12.391247034072876,0.0174,0.0348,False,nan,7.0
1,0.01,17.252848863601685,0.0036,0.1609,False,nan,7.0
1,0.001,13.126389980316162,0.0127,0.0117,False,nan,7.0
2,0.1,16.458472967147827,0.0129,0.0098,False,nan,7.0
2,0.01,25.95371174812317,0.0135,0.0153,False,nan,7.0
2,0.001,17.574378967285156,0.0311,0.0739,False,nan,7.0
3,0.1,28.48839569091797,0.1089,0.0233,False,nan,7.0
